,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
84,Sora,68,CO,1521701768,96,5.57,-73.45,49.02,0.92
85,Hermanus,0,ZA,1521701525,84,-34.42,19.24,60.36,8.19
86,Mount Gambier,80,AU,1521701569,58,-37.83,140.78,70.26,7.52
87,Meiganga,64,CM,1521701769,93,6.52,14.29,67.38,2.37
88,Vega de Alatorre,92,MX,1521701769,98,20.03,-96.65,66.93,0.13
89,Juneau,75,US,1521698160,69,58.3,-134.42,35.6,6.93
90,Verkhovyna,0,UA,1521701770,71,48.15,24.83,4.2,1.48
91,Kavaratti,0,IN,1521701771,100,10.57,72.64,83.13,6.96
92,Brekstad,75,NO,1521699600,100,63.69,9.67,39.2,14.99
93,Lasa,0,CY,1521700200,52,34.92,32.53,68.0,6.93
94,Thompson,90,CA,1521698400,72,55.74,-97.86,15.8,14.99
95,Mount Isa,40,AU,1521698400,28,-20.73,139.49,93.2,12.75
96,High Level,1,CA,1521698400,71,58.52,-117.13,5.0,4.7
97,Manggar,80,ID,1521701772,87,-2.88,108.27,84.03,8.52
98,Manokwari,20,ID,1521701773,100,-0.87,134.08,83.04,18.59
99,Virginia Beach,90,US,1521701460,95,36.85,-75.98,37.4,11.41
100,Torbay,90,CA,1521698400,86,47.66,-52.73,30.2,16.11
101,Srednekolymsk,56,RU,1521701621,41,67.46,153.71,-13.53,3.49
102,Anadyr,90,RU,1521698400,92,64.73,177.51,33.8,26.84
103,Saveh,0,IR,1521701615,61,35.02,50.36,57.39,3.6
104,Barrow,0,AR,1521701277,59,-38.31,-60.23,54.51,15.68
105,Dingle,0,PH,1521701775,50,11.0,122.67,89.07,13.22
106,Puerto Ayora,24,EC,1521701499,100,-0.74,-90.35,79.98,6.96
107,Cockburn Town,32,TC,1521701775,98,21.46,-71.14,77.64,9.64
108,Lishu,0,CN,1521701776,94,43.31,124.32,44.79,6.4
109,Lensk,76,RU,1521701776,68,60.71,114.91,26.34,6.06
110,Gornopravdinsk,68,RU,1521701776,86,60.06,69.92,26.61,4.05
111,Lompoc,75,US,1521700500,93,34.64,-120.46,60.8,19.46
112,Nanortalik,80,GL,1521701777,100,60.14,-45.24,30.75,13.44
113,Gao,20,ML,1521701777,32,16.28,-0.04,71.97,9.64
114,Sao Luiz Gonzaga,0,BR,1521701725,79,-28.41,-54.96,59.91,10.98
115,Lumeje,20,AO,1521701778,100,-11.56,20.78,66.84,4.38
116,Andros Town,20,BS,1521698400,69,24.73,-77.79,75.2,3.36
117,Cape Town,0,ZA,1521699540,59,-33.93,18.42,66.2,2.24
118,Qaanaaq,36,GL,1521701527,82,77.48,-69.36,-19.47,4.61
119,Evensk,76,RU,1521701779,100,61.92,159.24,19.77,8.41
120,Matagami,0,NG,1521701779,86,9.67,8.4,66.3,4.5
121,Bardsir,0,IR,1521700200,8,29.93,56.57,73.4,4.7
122,Faanui,44,PF,1521701514,100,-16.48,-151.75,82.5,6.73
123,Santa Cruz,75,US,1521700500,93,36.97,-122.03,62.6,4.7
124,Tuatapere,100,NZ,1521701568,100,-46.13,167.69,49.56,8.41
125,Shevchenko,44,UA,1521701784,99,48.22,37.14,24.09,10.2
126,Hsinchu,40,TW,1521698400,55,24.8,120.97,71.6,20.8
127,Camocim,32,BR,1521701784,93,-2.9,-40.84,74.94,6.06
128,Upernavik,56,GL,1521701525,100,72.79,-56.15,-7.86,18.48
129,Pacific Grove,75,US,1521700500,93,36.62,-121.92,60.8,4.7
130,Yendi,68,GH,1521701785,96,9.45,0.0,73.32,8.08
131,Vostok,32,RU,1521701785,58,46.45,135.83,41.19,2.59
132,Billings,20,US,1521697980,59,45.79,-108.5,37.4,5.82
133,San Cristobal,75,EC,1521698400,87,-0.39,-78.55,51.8,5.82
134,Olovyannaya,48,RU,1521701786,36,50.94,115.59,36.96,9.08
135,Butaritari,12,KI,1521701480,100,3.07,172.79,83.04,17.47
136,Nuuk,56,GL,1521697800,92,64.17,-51.74,19.4,16.11
137,Labuhan,48,ID,1521701477,73,-2.54,115.51,85.56,2.93
138,Kaeo,92,NZ,1521701787,99,-35.1,173.78,62.7,8.41
139,Viedma,0,AR,1521701788,45,-40.81,-62.99,59.91,17.58
140,Almas,36,BR,1521701788,94,-11.57,-47.17,68.64,2.37
141,Sisimiut,88,GL,1521701788,82,66.94,-53.67,2.85,1.59
142,Urengoy,12,RU,1521701789,68,65.96,78.37,-15.06,6.96
143,Kapaa,90,US,1521700560,78,22.08,-159.32,73.4,16.11
144,Banda Aceh,36,ID,1521701789,92,5.56,95.32,82.14,4.61
145,Dzhebariki-Khaya,0,RU,1521701789,52,62.22,135.8,7.89,3.15
146,Vestmannaeyjar,90,IS,1521700140,100,63.44,-20.27,39.2,20.8
